recipe_name,time,url,special_diet,blurb,course_type,group_by_time
Liverwurst Sandwich,3,https://www.simplyrecipes.com/author/elise-bauer/,,"Classic liverwurst sandwich with German liverwurst pork sausage, lettuce, bread, and mayonnaise.",lunch,low
Cinnamon Toast,3,https://www.simplyrecipes.com/author/elise-bauer/,,"Cinnamon toast! Sliced bread, toasted, buttered, and sprinkled with a mix of cinnamon and sugar.",breakfast,low
Tomato Salad with Soy Sauce,4,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegetarian","Fresh garden tomatoes sprinkled with olive oil, rice vinegar, and soy sauce.",lunch,low
Apple Peanut Butter Sandwich,4,https://www.simplyrecipes.com/author/elise-bauer/,,"Great for kids! Super easy and delicious, peanut butter and apple sandwiches.",lunch,low
Omelette in a Mug,4,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Vegetarian","Need an easy omelette recipe? Try a microwave omelette! Learn how to cook eggs in the microwave, and you'll have an easy and delicious meal, perfect for busy days.",breakfast,low
How to Fry an Egg,4,https://www.simplyrecipes.com/author/sally-vargas/,,"A perfectly fried egg is no mystery—it just takes a bit of practice in order to achieve mastery. Here's how to do it right, every time, with step by step instructions and photos.",breakfast,low
Quick and Easy White Bean Salad,5,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegan, Vegetarian","Simple white bean salad with red onions, a little lemon juice, olive oil, vinegar, herbs, salt and pepper.",lunch,low
Quick and Easy White Bean Salad,5,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegan, Vegetarian","Simple white bean salad with red onions, a little lemon juice, olive oil, vinegar, herbs, salt and pepper.",lunch,low
Homemade Buttermilk Ranch Dressing,5,https://www.simplyrecipes.com/author/elise-bauer/,,"Making your own homemade ranch dressing is EASY! All you need is buttermilk, mayo, some spices and fresh herbs. So much better than store bought!",lunch,low
Cucumber Yogurt Salad (Tzatziki),5,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Vegetarian","Cucumber yogurt tzatziki, a simple salad of peeled, sliced cucumbers, yogurt, dill, and salt and pepper.  To accompany spicy dishes.",lunch,low
Easy Cucumber Salad,5,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Vegan","Use up the bounty of summer with this refreshing and crispy salad with cucumbers, rice vinegar, salt, pepper, and chopped fresh dill or basil.",lunch,low
Avocado Heirloom Tomato Salad,5,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Paleo, Vegan, Vegetarian",Beautiful avocado tomato salad with sliced avocados and colorful heirloom tomatoes.,lunch,low
Best Ever Tuna Salad Sandwich,5,https://www.simplyrecipes.com/author/elise-bauer/,,"What makes the best ever tuna sandwich? It's all in the combination of ingredients—the best tuna you can find, cottage cheese and mayo, and good use of fresh dill, parsley, and more.",lunch,low
Best Ever Tuna Salad Sandwich,5,https://www.simplyrecipes.com/author/elise-bauer/,,"What makes the best ever tuna sandwich? It's all in the combination of ingredients—the best tuna you can find, cottage cheese and mayo, and good use of fresh dill, parsley, and more.",lunch,low
Homemade Pancake Mix,5,https://www.simplyrecipes.com/author/summer-miller/,Vegetarian,"Homemade Pancake Mix comes together in mere minutes and keeps for up to six months! Fluffy, buttery pancakes piled high on a Saturday morning are just a scoop away.",breakfast,low
Homemade Pancake Mix,5,https://www.simplyrecipes.com/author/summer-miller/,Vegetarian,"Homemade Pancake Mix comes together in mere minutes and keeps for up to six months! Fluffy, buttery pancakes piled high on a Saturday morning are just a scoop away.",breakfast,low
How To Make The Best Detox Smoothie,5,https://www.simplyrecipes.com/author/tess-masters/,"Gluten-Free, Paleo, Vegan, Vegetarian","From A to Z, everything you need to know to make a great tasting detox smoothie. From The Blender Girl herself, Tess Masters!",breakfast,low
Bloody Mary,5,https://www.simplyrecipes.com/author/elise-bauer/,,Get your brunch on with a Bloody Mary! Or skip the vodka and make it a Virgin Mary. Just the thing for brunch or soothing a hangover.,breakfast,low
Green Mojito Smoothie,5,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Paleo, Vegan","This non-alcoholic mojito smoothie will change your mind about green smoothies forever! Made with coconut water, kale, pineapple, mint, and lime.",breakfast,low
Instant Pot Yogurt,5,https://www.simplyrecipes.com/author/sara-bir/,,"Instant Pot Yogurt? Not only is it easy—it’ll add a new spark to your love affair with yogurt! Just press the right buttons, give it a peek now and then, and in a few hours, you'll have amazing homemade yogurt.",breakfast,low
French 75 Cocktail,5,https://www.simplyrecipes.com/author/nancy-mitchell/,,"The lovely classic French 75 cocktail is made with gin, lemon juice, simple syrup, and Champagne. A great drink for brunch or a fancy party!",breakfast,low
How to Make an Omelet,6,https://www.simplyrecipes.com/author/sally-vargas/,Vegetarian,Never fear! Making an omelet at home is not difficult. With a few basic steps and a flip of the wrist you can pull this off in minutes. Fill it with whatever you have on hand—it's a great way to use up leftovers!,breakfast,low
Sesame Cucumber Salad,7,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Paleo, Vegan, Vegetarian","Cooling cucumber salad, perfect for hot days and late night snacks. Cucumber chunks, tossed with sesame oil, seasoned rice vinegar, and chili flakes.",lunch,low
How to Make Overnight Oatmeal,7,https://www.simplyrecipes.com/author/emma-christensen/,"Gluten-Free, Vegan, Vegetarian","This is the best overnight oatmeal! Just combine oats and water, then microwave the next day. So EASY and QUICK. Make a whole week of breakfasts at once.",breakfast,low
Shaved Fennel Salad,8,https://www.simplyrecipes.com/author/elise-bauer/,"Gluten-Free, Low Carb, Vegetarian","Simple and easy shaved fennel salad with olive oil, lemon juice, thyme, parsley, and Parmesan.",lunch,low
